x,y
0.0212078,0.024179
0.0290141,0.0252394
0.0361033,0.0268776
0.0565146,0.0343953
0.0660206,0.0373322
0.0780835,0.0375288
0.0839889,0.0356809
0.0795006,0.0386079
0.0747973,0.0427667
0.0695232,0.0474281
0.0648265,0.0485544
0.0592532,0.0493183
0.0527736,0.0506107
0.0461328,0.0517211
0.0408271,0.0513689
0.0364879,0.0498774
0.0316247,0.0485036
0.0249376,0.0477275
0.0172046,0.047011
0.0093106,0.045364
0.0015024,0.0430612
-0.0144233,0.0382996
-0.0214854,0.0362999
-0.0279588,0.035
-0.0336089,0.0342742
-0.0380093,0.0339238
-0.0430265,0.0336288
-0.0434213,0.0332201
-0.0426841,0.0327482
-0.0410572,0.0325473
-0.0317066,0.0328825
-0.0266068,0.0328559
-0.0175366,0.0319264
0.0003656,0.0293605
0.008791,0.0298552
0.0193752,0.0283169
0.0284754,0.0258915
0.0354169,0.0244776
0.036135,0.0254487
0.0335596,0.0272587
0.0289428,0.0288311
0.0251228,0.0283648
0.0250836,0.0259681
0.0241658,0.0277583
0.0217831,0.0288343
0.0200747,0.0299007
0.0182055,0.0311062
0.0165726,0.0323838
0.0153023,0.0333912
0.0153378,0.0337125
0.0171466,0.0334297
0.0204127,0.0329717
0.0239553,0.0324348
0.0281775,0.0315584
0.0333506,0.0304539
0.0385151,0.0295507
0.0431426,0.0289196
0.0471924,0.0288811
0.05152,0.0293464
0.0564154,0.0296807
0.0679519,0.0293206
0.0772997,0.0280792
0.0818695,0.0265595
0.0814426,0.0272479
0.0812449,0.0289546
0.0795607,0.0318236
0.0777846,0.0322281
0.0738303,0.0328466
0.0679125,0.0325737
0.0446476,0.0282574
0.0393576,0.0245976
0.0304083,0.0231226
0.0181898,0.0232376
-0.0091385,0.0249377
-0.0199905,0.0237323
-0.029152,0.0218832
-0.0365915,0.0192027
-0.0426255,0.016416
-0.0599654,0.0141177
-0.0642482,0.0150133
-0.0674626,0.0161958
-0.0704148,0.0176266
-0.0726818,0.0184927
-0.0737571,0.0187622
-0.0737083,0.0184265
-0.0719952,0.0177205
-0.06862,0.0165296
-0.0641079,0.0149443
-0.0552536,0.0118149
-0.0352612,0.0042245
-0.0122338,0.0008146
-0.598497,-0.0290647
